datetime,user,username,tweet_id,tweet,tweet_url,hashtags,likeCount,quoteCount,replyCoint,retweetCount,retweetedTweet,sourceUrl,m2_mine
2022-03-24 10:32:23+00:00,https://twitter.com/ScorpionPlan,ScorpionPlan,1.50694E+18,@irvinmigue @FicoGutierrez #Racista #racistas #racist #racisteu,,,,,,,,,"@irvinmigue,@FicoGutierrez"
2022-03-24 10:32:23+00:00,https://twitter.com/ScorpionPlan,ScorpionPlan,1.50694E+18,@irvinmigue @FicoGutierrez #Racista #racistas #racist #racisteu,https://twitter.com/ScorpionPlan/status/1506941991954919425,"['Racista', 'racistas', 'racist', 'racisteu']",0,0,1,0,,http://twitter.com/download/android,"@irvinmigue,@FicoGutierrez"
2022-03-24 10:32:23+00:00,https://twitter.com/ScorpionPlan,ScorpionPlan,1.50694E+18,@irvinmigue @FicoGutierrez #Racista #racistas #racist #racisteu,https://twitter.com/ScorpionPlan/status/1506941991954919425,"['Racista', 'racistas', 'racist', 'racisteu']",0,0,1,0,,http://twitter.com/download/android,"@irvinmigue,@FicoGutierrez"
2022-03-23 00:22:30+00:00,https://twitter.com/wagagaikoko,wagagaikoko,1.51E+18,"@pritipatel Wow, wow.. so while families are given money to host Ukraine refugees there is no sympathy for those fleeing from other countries!
Just say it, if you are not white you are not welcome, blonde are prefered!
#racism 
#RacistEU
#ENGLAND",https://twitter.com/wagagaikoko/status/1506426122975600641,"['racism', 'RacistEU', 'ENGLAND']",0,0,0,0,,http://twitter.com/download/android,@pritipatel
2022-03-22 17:53:12+00:00,https://twitter.com/segenmsemere,segenmsemere,1.51E+18,"@Refugees @FilippoGrandi raise your voice against policies and practices of #EU that prevent #AfricanRefugees  from seeking Ayslum 
Raise your voice against the #racistborders
#Borderskills 
#RacistEU https://t.co/tmstxXz7NJ",https://twitter.com/segenmsemere/status/1506328154289455111,"['EU', 'AfricanRefugees', 'racistborders', 'Borderskills', 'RacistEU']",3,0,0,4,,http://twitter.com/download/iphone,"@Refugees,@FilippoGrandi"
2022-03-22 07:06:37+00:00,https://twitter.com/Coffeephile30,Coffeephile30,1.51E+18,@narendramodi  even if our culture nd principles dont permit but pls dont help the west specially the britain ...they suck pathetic people and racist too ...let them die in famines like they let our ancestors die in Bengal #India #RacistEU #RacistUkraine #racistwest https://t.co/cGmB0xYVtQ,https://twitter.com/Coffeephile30/status/1506165433803554816,"['India', 'RacistEU', 'RacistUkraine', 'racistwest']",0,0,0,0,,http://twitter.com/download/android,@narendramodi
2022-03-22 04:19:01+00:00,https://twitter.com/ginalovell545,ginalovell545,1.51E+18,"surrounding her private parts, this had triggered me, but I do not see how or why you would call this #PoliceBrutality but more so, #RacistEU?

I also know all to well the full meaning of #Gaslighting that has@annelovell743 /@TRUTHTIMEPLS is left with a body in @haringeycouncil",https://twitter.com/ginalovell545/status/1506123254880210947,"['PoliceBrutality', 'RacistEU', 'Gaslighting']",0,0,1,0,,https://mobile.twitter.com,"@annelovell743,@TRUTHTIMEPLS,@haringeycouncil"
2022-03-21 16:31:51+00:00,https://twitter.com/tenstrops,tenstrops,1.51E+18,"@RBC @BMO @cibc @TD_Canada 

Why do you guys exclude black women from your advertising??? Always a black man and white woman??? Wtf is up with that racism??? @BLMLA 

Black women are UGLY says Canada's banks

#racism #RacistEU #RacismAtWork",https://twitter.com/tenstrops/status/1505945293119844352,"['racism', 'RacistEU', 'RacismAtWork']",0,0,0,0,,http://twitter.com/download/android,@RBC @BMO @cibc @TD_Canada 
2022-03-21 15:02:14+00:00,https://twitter.com/kevinmairura,kevinmairura,1.51E+18,@spriter99880 They'll know about the #RacistEU Pretty soon if they haven't yet .,https://twitter.com/kevinmairura/status/1505922739974156296,['RacistEU'],3,0,0,0,,http://twitter.com/download/android,@spriter99880
2022-03-21 06:21:31+00:00,https://twitter.com/shuxands7567898,shuxands7567898,1.51E+18,@AutismLife19yrs @lapatina_ #Hypocrisy #RacistEU,https://twitter.com/shuxands7567898/status/1505791697653235713,"['Hypocrisy', 'RacistEU']",0,0,0,0,,https://mobile.twitter.com,"@AutismLife19yrs,@lapatina_"
